,FIPS,TimeFromStart,Predicted_Cases,Cases,Date,split
2017262,12057,655,27.0,0.0,2021-12-15,test
2020404,12057,656,20.0,0.0,2021-12-16,test
2023546,12057,657,282.0,1333.0,2021-12-17,test
2026688,12057,658,89.0,0.0,2021-12-18,test
2029830,12057,659,54.0,0.0,2021-12-19,test
2032972,12057,660,0.0,0.0,2021-12-20,test
2036114,12057,661,0.0,0.0,2021-12-21,test
2039256,12057,662,0.0,0.0,2021-12-22,test
2042398,12057,663,0.0,0.0,2021-12-23,test
2045540,12057,664,227.0,3017.5,2021-12-24,test
2048682,12057,665,26.0,0.0,2021-12-25,test
2051824,12057,666,2.0,0.0,2021-12-26,test
2054966,12057,667,0.0,0.0,2021-12-27,test
2058108,12057,668,0.0,0.0,2021-12-28,test
2061250,12057,669,0.0,0.0,2021-12-29,test
