,FIPS,TimeFromStart,Predicted_Cases,Cases,Date,split
2018933,37199,655,18.0,19.0,2021-12-15,test
2022075,37199,656,13.0,30.0,2021-12-16,test
2025217,37199,657,15.0,9.0,2021-12-17,test
2028359,37199,658,4.0,0.0,2021-12-18,test
2031501,37199,659,3.0,0.0,2021-12-19,test
2034643,37199,660,34.0,42.5,2021-12-20,test
2037785,37199,661,13.0,6.0,2021-12-21,test
2040927,37199,662,17.0,28.0,2021-12-22,test
2044069,37199,663,13.0,0.0,2021-12-23,test
2047211,37199,664,15.0,0.0,2021-12-24,test
2050353,37199,665,4.0,0.0,2021-12-25,test
2053495,37199,666,3.0,0.0,2021-12-26,test
2056637,37199,667,32.0,0.0,2021-12-27,test
2059779,37199,668,12.0,42.5,2021-12-28,test
2062921,37199,669,16.0,0.0,2021-12-29,test
