,FIPS,TimeFromStart,Predicted_Cases,Cases,Date,split
2019192,41051,655,125.0,122.0,2021-12-15,test
2022334,41051,656,122.0,131.0,2021-12-16,test
2025476,41051,657,165.0,202.0,2021-12-17,test
2028618,41051,658,34.0,0.0,2021-12-18,test
2031760,41051,659,26.0,0.0,2021-12-19,test
2034902,41051,660,347.0,323.0,2021-12-20,test
2038044,41051,661,145.0,191.0,2021-12-21,test
2041186,41051,662,151.0,234.0,2021-12-22,test
2044328,41051,663,155.0,345.0,2021-12-23,test
2047470,41051,664,176.0,0.0,2021-12-24,test
2050612,41051,665,34.0,0.0,2021-12-25,test
2053754,41051,666,24.0,0.0,2021-12-26,test
2056896,41051,667,363.0,1029.0,2021-12-27,test
2060038,41051,668,148.0,255.0,2021-12-28,test
2063180,41051,669,153.0,422.0,2021-12-29,test
