,FIPS,TimeFromStart,Predicted_Cases,Cases,Date,split
2019753,49035,655,369.0,492.0,2021-12-15,test
2022895,49035,656,354.0,408.0,2021-12-16,test
2026037,49035,657,476.0,340.0,2021-12-17,test
2029179,49035,658,178.0,0.0,2021-12-18,test
2032321,49035,659,158.0,0.0,2021-12-19,test
2035463,49035,660,813.0,951.0,2021-12-20,test
2038605,49035,661,405.0,324.0,2021-12-21,test
2041747,49035,662,429.0,519.0,2021-12-22,test
2044889,49035,663,391.0,519.0,2021-12-23,test
2048031,49035,664,488.0,0.0,2021-12-24,test
2051173,49035,665,188.0,0.0,2021-12-25,test
2054315,49035,666,165.0,0.0,2021-12-26,test
2057457,49035,667,776.0,1898.0,2021-12-27,test
2060599,49035,668,385.0,766.0,2021-12-28,test
2063741,49035,669,409.0,1362.0,2021-12-29,test
