,FIPS,TimeFromStart,Predicted_Cases,Cases,Date,split
2019842,51025,655,3.0,2.0,2021-12-15,test
2022984,51025,656,3.0,4.0,2021-12-16,test
2026126,51025,657,3.0,0.0,2021-12-17,test
2029268,51025,658,1.0,0.0,2021-12-18,test
2032410,51025,659,1.0,0.0,2021-12-19,test
2035552,51025,660,4.0,1.0,2021-12-20,test
2038694,51025,661,3.0,1.0,2021-12-21,test
2041836,51025,662,4.0,1.0,2021-12-22,test
2044978,51025,663,4.0,4.0,2021-12-23,test
2048120,51025,664,3.0,2.0,2021-12-24,test
2051262,51025,665,1.0,0.0,2021-12-25,test
2054404,51025,666,1.0,0.0,2021-12-26,test
2057546,51025,667,4.0,8.0,2021-12-27,test
2060688,51025,668,3.0,0.0,2021-12-28,test
2063830,51025,669,4.0,6.0,2021-12-29,test
